Circuit ID,Source of ID,Names
fSZdmo,DHBA,outer SZ in dorsomedial frontal cortex
fSZdmop,DHBA,outer plexiform (fiber) zone in dorsomedial frontal cortex
fSZdmi,DHBA,inner SZ in dorsomedial frontal cortex
fSZdmip,DHBA,inner plexiform (fiber) zone in dorsomedial frontal cortex
fSZdl,DHBA,SZ in dorsolateral prefrontal cortex
fSZdlo,DHBA,outer SZ in dorsolateral prefrontal cortex
fSZdlop,DHBA,outer plexiform zone in dorsolateral prefrontal cortex
fSZdli,DHBA,inner SZ in dorsolateral prefrontal cortex
fSZdlip,DHBA,inner plexiform zone in dorsolateral prefrontal cortex
fSZvl,DHBA,SZ in ventrolateral prefrontal cortex
fSZvlo,DHBA,outer SZ in ventrolateral prefrontal cortex
fSZvlop,DHBA,outer plexiform zone in ventrolateral prefrontal cortex
fSZvli,DHBA,inner SZ in ventrolateral prefrontal cortex
fSZvlip,DHBA,inner plexiform zone in ventrolateral prefrontal cortex
fSZor,DHBA,SZ in orbital frontal cortex
fSZoro,DHBA,outer SZ in orbital frontal cortex
fSZorop,DHBA,outer plexiform (fiber) zone in orbital frontal cortex
fSZori,DHBA,inner SZ in orbital frontal cortex
fSZorip,DHBA,inner plexiform (fiber) zone in orbital frontal cortex
fSZm1,DHBA,SZ in posteror frontal cortex (motor cortex)
fSZm1o,DHBA,outer SZ in posteror frontal cortex (motor cortex)
fSZm1op,DHBA,outer plexiform (fiber) zone in posteror frontal cortex (motor cortex)
fSZm1i,DHBA,inner SZ in posteror frontal cortex (motor cortex)
fSZm1ip,DHBA,inner plexiform (fiber) zone in posteror frontal cortex (motor cortex)
pSZ,DHBA,SZ in parietal neocortex
pSZs1,DHBA,SZ in primary somatosensory cortex
pSZs1o,DHBA,outer SZ in primary somatosensory cortex
pSZs1op,DHBA,outer plexiform zone in primary somatosensory cortex
pSZs1i,DHBA,inner SZ in primary somatosensory cortex
pSZs1ip,DHBA,inner plexiform zone in primary somatosensory cortex
pSZdm,DHBA,SZ in dorsomedial parietal cortex (area 7m)
pSZdmo,DHBA,outer SZ in dorsomedial parietal cortex (area 7m)
pSZdmi,DHBA,inner SZ in dorsomedial parietal cortex (area 7m)
pSZpd,DHBA,SZ in posterosuperior (dorsal) parietal cortex
pSZpdo,DHBA,outer SZ in posterosuperior (dorsal) parietal cortex
pSZpdop,DHBA,outer plexiform zone in posterosuperior (dorsal) parietal cortex
pSZpdi,DHBA,inner SZ in posterosuperior (dorsal) parietal cortex
pSZpdip,DHBA,inner plexiform zone in posterosuperior (dorsal) parietal cortex
pSZpv,DHBA,SZ in posteroinferior (ventral) parietal cortex
pSZpvo,DHBA,outer SZ in posteroinferior (ventral) parietal cortex
pSZpvop,DHBA,outer plexiform zone in posteroinferior (ventral) parietal cortex
pSZpvi,DHBA,inner SZ in posteroinferior (ventral) parietal cortex
pSZpvip,DHBA,inner plexiform zone in posteroinferior (ventral) parietal cortex
tSZ,DHBA,SZ in temporal neocortex
tSZdl,DHBA,SZ in dorsolateral temporal cortex
tSZa1,DHBA,SZ in primary auditory cortex
tSZa1o,DHBA,outer SZ in primary auditory cortex
tSZa1op,DHBA,outer plexiform zone in primary auditory cortex
tSZa1i,DHBA,inner SZ in primary auditory cortex
tSZa1ip,DHBA,inner plexiform zone in primary auditory cortex
tSZsl,DHBA,SZ in superolateral temporal cortex
tSZslo,DHBA,outer SZ in superolateral temporal cortex
tSZslop,DHBA,outer plexiform zone in superolateral temporal cortex
tSZsli,DHBA,inner SZ in superolateral temporal cortex
tSZslip,DHBA,inner plexiform zone in superolateral temporal cortex
tSZps,DHBA,SZ in polysensory temporal cortex
tSZpso,DHBA,outer SZ in polysensory temporal cortex
tSZpsop,DHBA,outer plexiform zone in polysensory temporal cortex
tSZpsi,DHBA,inner SZ in polysensory temporal cortex
tSZpsip,DHBA,inner plexiform zone in polysensory temporal cortex
tSZpi,DHBA,SZ in parainsular temporal cortex
tSZpio,DHBA,outer SZ in parainsular temporal cortex
tSZpiop,DHBA,outer plexiform zone in parainsular temporal cortex
tSZpii,DHBA,inner SZ in parainsular temporal cortex
tSZpiip,DHBA,inner plexiform zone in parainsular temporal cortex
tSZvl,DHBA,SZ in ventrolateral temporal cortex
tSZml,DHBA,SZ in midlateral temporal cortex
tSZmlo,DHBA,outer SZ in midlateral temporal cortex
tSZmlop,DHBA,outer plexiform zone in midlateral temporal cortex
tSZmli,DHBA,inner SZ in midlateral temporal cortex
tSZmlip,DHBA,inner plexiform zone in midlateral temporal cortex
tSZil,DHBA,SZ in inferolateral temporal cortex
tSZilo,DHBA,outer SZ in inferolateral temporal cortex
tSZilop,DHBA,outer plexiform zone in inferolateral temporal cortex
tSZili,DHBA,inner SZ in inferolateral temporal cortex
tSZilip,DHBA,inner plexiform zone in inferolateral temporal cortex
tSZmi,DHBA,SZ in midinferior temporal cortex
tSZ36,DHBA,SZ in rostral midinferior temporal cortex (area 36)
tSZ36o,DHBA,outer SZ in rostral midinferior temporal cortex (area 36)
tSZ36op,DHBA,outer plexiform zone in rostral midinferior temporal cortex (area 36)
tSZ36i,DHBA,inner SZ in rostral midinferior temporal cortex (area 36)
tSZ36ip,DHBA,inner plexiform zone in rostral midinferior temporal cortex (area 36)
tSZtf,DHBA,SZ in caudal midinferior temporal cortex (area TF)
tSZtfo,DHBA,outer SZ in caudal midinferior temporal cortex (area TF)
tSZtfop,DHBA,outer plexiform zone in caudal midinferior temporal cortex (area TF)
tSZtfi,DHBA,inner SZ in caudal midinferior temporal cortex (area TF)
tSZtfip,DHBA,inner plexiform zone in caudal midinferior temporal cortex (area TF)
tSZph,DHBA,SZ in posterior parahippocampal cortex
tSZpho,DHBA,outer SZ in posterior parahippocampal cortex
tSZphop,DHBA,outer plexiform zone in posterior parahippocampal cortex
tSZphi,DHBA,inner SZ in posterior parahippocampal cortex
tSZphip,DHBA,inner plexiform zone in posterior parahippocampal cortex
tSZmt,DHBA,SZ in medial temporal-occipital cortex
tSZmto,DHBA,outer SZ in medial temporal-occipital cortex
tSZmtop,DHBA,outer plexiform zone in medial temporal-occipital cortex
tSZmti,DHBA,inner SZ in medial temporal-occipital cortex
tSZmtip,DHBA,inner plexiform zone in medial temporal-occipital cortex
tSZlt,DHBA,SZ in lateral temporal-occipital cortex
tSZlto,DHBA,outer SZ in lateral temporal-occipital cortex
tSZltop,DHBA,outer plexiform zone in lateral temporal-occipital cortex
tSZlti,DHBA,inner SZ in lateral temporal-occipital cortex
tSZltip,DHBA,inner plexiform zone in lateral temporal-occipital cortex
